anomalyID, srcIP, srcPort, dstIP, dstPort, taxonomy, heuristic, distance, nbDetectors, label
0,103.63.49.199,,,445,ntscSYN139445,-0.1462,2,suspicious
1,182.110.83.156,,,1433,ntscSYN,-0.1462,2,suspicious
2,60.66.47.112,,,1433,ntscSYN,-0.1462,2,suspicious
3,120.185.191.100,,,1433,ntscSYN,-0.1462,2,suspicious
4,120.164.231.68,,,445,sntscSYN,-0.1462,2,suspicious
5,202.218.88.89,443,,,ptmp,-0.47015,2,suspicious
6,0.0.0.0,,203.193.124.190,,ttl_error,-0.29608,3,suspicious
7,219.241.247.97,50605,203.193.14.71,,salphfl,-0.29608,3,suspicious
7,219.241.247.97,18223,203.193.14.71,,salphfl,-0.29608,3,suspicious
7,219.241.247.97,,203.193.14.71,64464,salphfl,-0.29608,3,suspicious
8,115.160.17.74,,,,ntscICec,-0.29608,3,suspicious
9,143.202.70.83,,,443,ptmp,-0.65459,3,suspicious
9,143.202.70.83,,,80,ptmp,-0.65459,3,suspicious
10,205.25.99.169,,,,sntscSYN,-0.40036,4,suspicious
11,139.96.39.204,,203.193.125.72,22,salphfl,-0.29608,3,suspicious
12,,,0.0.0.0,,empty,-0.34692,1,suspicious
13,172.84.204.45,,,,ntscSYN,-0.73058,1,suspicious
14,79.113.66.236,,,,ntscSYN,-0.73058,1,suspicious
15,172.53.110.117,,,5093,ntscSYN,-0.73058,1,suspicious
16,34.60.10.152,80,,,ptmpHTTP,-0.73058,1,suspicious
17,61.215.151.121,9914,,2774,ntscSYN,-0.73058,1,suspicious
18,61.215.151.121,11046,,2774,ntscSYN,-0.73058,1,suspicious
19,61.215.151.121,11761,,2774,ntscSYN,-0.73058,1,suspicious
20,61.215.151.121,12178,,2774,ntscSYN,-0.73058,1,suspicious
21,,,203.193.111.239,,mptp,-0.73058,1,suspicious
22,,,202.21.43.188,8080,ptpDoSSYN,-0.57754,3,suspicious
23,,,203.193.120.32,53,ntscUDPUDPrp,-0.73058,1,suspicious
24,,,192.53.36.203,53,mptp,-0.57754,3,suspicious
25,,53,202.215.76.50,,ntscUDPUDPrp,-0.73058,1,suspicious
26,,,150.124.0.70,,icmp_error,-0.73058,1,suspicious
27,,,133.11.52.175,,ntscUDPUDPrp,-0.73058,1,suspicious
28,,,203.193.121.22,,ntscUDPUDPrp,-0.73058,1,suspicious
29,157.75.196.224,,192.175.8.6,53,alphfl,-0.73058,1,suspicious
30,5.45.42.153,,203.193.120.37,53,alphfl,-0.65459,3,suspicious
